Date,Close/Last,Volume,Open,High,Low
10/25/2024,13.16,3412359,13.15,13.25,13.10
10/24/2024,13.12,2056542,13.13,13.16,13.055
10/23/2024,13.09,2906883,13.15,13.23,13.05
10/22/2024,13.32,1992791,13.28,13.36,13.27
10/21/2024,13.35,2016706,13.395,13.46,13.30
10/18/2024,13.44,3130865,13.47,13.50,13.41
10/17/2024,13.41,2186501,13.52,13.55,13.41
10/16/2024,13.55,3108287,13.46,13.5601,13.42
10/15/2024,13.38,2698316,13.60,13.60,13.37
10/14/2024,13.65,1638608,13.675,13.71,13.59
10/11/2024,13.71,1577794,13.53,13.725,13.53
10/10/2024,13.58,2481729,13.845,13.845,13.55
10/09/2024,13.92,2570576,13.995,13.995,13.85
10/08/2024,13.96,927264,14.01,14.08,13.9301
10/07/2024,14.15,1474980,14.16,14.255,14.06
10/04/2024,14.16,2343769,14.24,14.255,14.10
10/03/2024,14.21,1178536,14.28,14.31,14.18
10/02/2024,14.37,1371809,14.50,14.53,14.29
10/01/2024,14.50,1934005,14.64,14.6778,14.40
09/30/2024,14.69,1305831,14.76,14.8097,14.61
09/27/2024,14.77,1979836,14.75,14.885,14.75
09/26/2024,14.69,1612125,14.63,14.765,14.585
09/25/2024,14.45,3359414,14.53,14.58,14.43
09/24/2024,14.61,1799882,14.63,14.67,14.55
09/23/2024,14.48,1568137,14.42,14.49,14.32
09/20/2024,14.37,2317029,14.40,14.44,14.3227
09/19/2024,14.53,2651810,14.85,14.85,14.5001
09/18/2024,14.61,2909325,14.61,14.93,14.58
09/17/2024,14.66,2245027,14.54,14.71,14.525
09/16/2024,14.55,1816544,14.43,14.59,14.3999
09/13/2024,14.45,1875350,14.38,14.49,14.38
09/12/2024,14.27,1550733,14.31,14.3261,14.185
09/11/2024,14.37,4343296,14.13,14.37,14.095
09/10/2024,13.88,1416910,13.85,13.88,13.74
09/09/2024,13.87,2508776,13.96,13.98,13.845
09/06/2024,13.89,1945933,14.14,14.1795,13.88
09/05/2024,14.18,1735097,14.24,14.30,14.125
09/04/2024,14.09,2232987,13.96,14.135,13.96
09/03/2024,13.91,3151041,14.16,14.245,13.87
08/30/2024,14.29,1744573,14.25,14.31,14.19
08/29/2024,14.18,2230254,14.28,14.31,14.17
08/28/2024,14.27,993165,14.30,14.40,14.205
08/27/2024,14.35,1130499,14.32,14.38,14.2502
08/26/2024,14.41,2111925,14.50,14.5665,14.40
08/23/2024,14.45,3276782,14.16,14.46,14.13
08/22/2024,14.05,1238488,14.21,14.27,14.0201
08/21/2024,14.27,2323828,14.20,14.30,14.20
08/20/2024,14.21,2309273,14.28,14.3569,14.155
08/19/2024,14.37,1581860,14.21,14.4198,14.21
08/16/2024,14.17,902602,14.14,14.20,14.07
08/15/2024,14.19,1876353,14.15,14.25,14.1001
08/14/2024,14.06,2214816,14.20,14.20,14.035
08/13/2024,14.16,2549746,13.92,14.18,13.92
08/12/2024,13.82,2187155,13.80,13.87,13.775
08/09/2024,13.85,1231014,13.88,13.8899,13.705
08/08/2024,13.91,2538451,13.71,13.95,13.71
08/07/2024,13.68,2486281,13.83,13.99,13.645
08/06/2024,13.55,2064552,13.50,13.68,13.44
08/05/2024,13.48,4835043,13.26,13.6599,13.24
08/02/2024,13.94,2669212,13.86,14.12,13.84
08/01/2024,13.98,3210092,14.09,14.25,13.92
07/31/2024,14.15,4077809,14.02,14.28,14.02
07/30/2024,13.93,4371869,14.00,14.04,13.87
07/29/2024,13.99,2408870,14.11,14.145,13.9299
07/26/2024,14.11,2195588,14.03,14.18,13.99
07/25/2024,13.93,2745523,13.90,14.1061,13.8701
07/24/2024,13.92,6424976,13.82,14.065,13.82
07/23/2024,13.73,1761695,13.72,13.8381,13.70
07/22/2024,13.83,2659038,13.84,13.89,13.72
07/19/2024,13.67,2875750,13.80,13.84,13.67
07/18/2024,13.75,4533420,13.87,14.04,13.70
07/17/2024,13.80,2973195,13.89,14.00,13.76
07/16/2024,14.09,4398699,13.83,14.09,13.80
07/15/2024,13.85,5458264,13.98,14.02,13.79
07/12/2024,14.41,2413831,14.29,14.455,14.2811
07/11/2024,14.24,4970958,14.20,14.2665,14.11
07/10/2024,13.86,2504624,13.76,13.89,13.73
07/09/2024,13.70,3405736,13.67,13.77,13.61
07/08/2024,13.70,4240254,13.58,13.73,13.55
07/05/2024,13.61,2620068,13.56,13.725,13.53
07/03/2024,13.59,4990513,13.36,13.6351,13.34
07/02/2024,13.26,2154970,13.26,13.415,13.175
07/01/2024,13.31,3762863,13.40,13.49,13.29
06/28/2024,13.32,5170168,13.66,13.71,13.28
06/27/2024,13.77,2792752,13.60,13.79,13.585
06/26/2024,13.71,2056262,13.72,13.73,13.63
06/25/2024,13.79,1773924,13.92,13.95,13.78
06/24/2024,14.05,1791959,13.92,14.1299,13.91
06/21/2024,13.91,2816728,13.95,14.0208,13.88
06/20/2024,13.95,2843405,14.06,14.06,13.87
06/18/2024,14.14,2014454,14.10,14.18,14.05
06/17/2024,14.12,3446808,14.30,14.315,14.0099
06/14/2024,14.34,2341740,14.55,14.575,14.33
06/13/2024,14.67,2449196,14.85,14.90,14.6001
06/12/2024,14.87,2687589,15.04,15.15,14.835
06/11/2024,14.73,2663332,14.61,14.76,14.515
06/10/2024,14.78,1898443,14.47,14.81,14.425
06/07/2024,14.53,3367197,14.71,14.795,14.53
06/06/2024,14.91,1720134,14.91,15.00,14.86
06/05/2024,15.06,1999580,14.92,15.13,14.90
06/04/2024,14.94,3413704,15.00,15.02,14.865
06/03/2024,15.08,3427780,15.18,15.25,15.0497
05/31/2024,14.97,3376650,15.01,15.15,14.79
05/30/2024,15.04,1597644,15.00,15.04,14.84
05/29/2024,14.83,2529250,14.87,14.945,14.77
05/28/2024,15.08,3422488,15.09,15.23,15.00
05/24/2024,14.92,4817384,14.59,14.96,14.58
05/23/2024,14.57,4021069,14.80,14.80,14.52
05/22/2024,14.79,5753277,14.21,14.91,14.21
05/21/2024,14.27,2150003,14.06,14.28,14.06
05/20/2024,14.15,1474674,14.115,14.16,14.085
