Ticker,Name,Type,Sector,Asset Class,Market Value,Weight (%),Notional Value,Quantity,Price,Location,Exchange,Currency,FX Rate,Accrual Date
FSLR,FIRST SOLAR INC,EQUITY,Information Technology,Equity,"136,158,059.07",7.62,"136,158,059.07","702,099.00",193.93,United States,NASDAQ,USD,1.00,--
IBE,IBERDROLA SA,EQUITY,Utilities,Equity,"112,113,309.80",6.27,"112,113,309.80","7,895,621.00",14.20,Spain,Bolsa De Madrid,USD,0.93,--
SSE,SSE PLC,EQUITY,Utilities,Equity,"110,370,207.38",6.18,"110,370,207.38","4,961,828.00",22.24,United Kingdom,London Stock Exchange,USD,0.77,--
ENPH,ENPHASE ENERGY INC,EQUITY,Information Technology,Equity,"83,832,724.50",4.69,"83,832,724.50","1,253,105.00",66.90,United States,NASDAQ,USD,1.00,--
VWS,VESTAS WIND SYSTEMS,EQUITY,Industrials,Equity,"81,866,965.22",4.58,"81,866,965.22","5,434,478.00",15.06,Denmark,Omx Nordic Exchange Copenhagen A/S,USD,6.94,--
9502,CHUBU ELECTRIC POWER INC,EQUITY,Utilities,Equity,"69,943,093.32",3.91,"69,943,093.32","6,256,500.00",11.18,Japan,Tokyo Stock Exchange,USD,152.43,--
600900,CHINA YANGTZE POWER LTD A,EQUITY,Utilities,Equity,"69,536,004.94",3.89,"69,536,004.94","18,114,230.00",3.84,China,Shanghai Stock Exchange,USD,7.17,--
EDP,EDP ENERGIAS DE PORTUGAL SA,EQUITY,Utilities,Equity,"68,985,292.35",3.86,"68,985,292.35","18,798,575.00",3.67,Portugal,Nyse Euronext - Euronext Lisbon,USD,0.93,--
SUZLON,SUZLON ENERGY LTD,EQUITY,Industrials,Equity,"55,370,518.96",3.10,"55,370,518.96","74,751,308.00",0.74,India,National Stock Exchange Of India,USD,84.38,--
ORSTED,ORSTED,EQUITY,Utilities,Equity,"54,013,606.88",3.02,"54,013,606.88","989,142.00",54.61,Denmark,Omx Nordic Exchange Copenhagen A/S,USD,6.94,--
NXT,NEXTRACKER INC CLASS A,EQUITY,Industrials,Equity,"53,276,617.80",2.98,"53,276,617.80","1,327,270.00",40.14,United States,NASDAQ,USD,1.00,--
EQTL3,EQUATORIAL ENERGIA SA,EQUITY,Utilities,Equity,"51,626,809.93",2.89,"51,626,809.93","9,503,638.00",5.43,Brazil,XBSP,USD,5.78,--
ORA,ORMAT TECH INC,EQUITY,Utilities,Equity,"41,385,522.33",2.32,"41,385,522.33","497,841.00",83.13,United States,New York Stock Exchange Inc.,USD,1.00,--
ELET3,CENTRAIS ELETR BRAS-ELETROBRAS,EQUITY,Utilities,Equity,"39,043,506.31",2.18,"39,043,506.31","6,336,244.00",6.16,Brazil,XBSP,USD,5.78,--
NHPC,NHPC LTD,EQUITY,Utilities,Equity,"28,099,384.02",1.57,"28,099,384.02","28,790,779.00",0.98,India,National Stock Exchange Of India,USD,84.38,--
BREN,BARITO RENEWABLES ENERGY,EQUITY,Utilities,Equity,"26,281,541.16",1.47,"26,281,541.16","59,902,800.00",0.44,Indonesia,Indonesia Stock Exchange,USD,"15,670.00",--
NPI,NORTHLAND POWER INC,EQUITY,Utilities,Equity,"26,160,411.77",1.46,"26,160,411.77","1,783,927.00",14.66,Canada,Toronto Stock Exchange,USD,1.39,--
CMIG4,CIA ENERGETICA DE MINAS GERAIS PRE,EQUITY,Utilities,Equity,"25,776,909.34",1.44,"25,776,909.34","13,205,586.00",1.95,Brazil,XBSP,USD,5.78,--
NEOEN,NEOEN SA,EQUITY,Utilities,Equity,"22,751,817.90",1.27,"22,751,817.90","536,947.00",42.37,France,Nyse Euronext - Euronext Paris,USD,0.93,--
BEPC,BROOKFIELD RENEWABLE SUBORDINATE V,EQUITY,Utilities,Equity,"21,596,018.43",1.21,"21,596,018.43","688,689.00",31.36,Canada,Toronto Stock Exchange,USD,1.39,--
CWEN,CLEARWAY ENERGY INC CLASS C,EQUITY,Utilities,Equity,"21,255,320.45",1.19,"21,255,320.45","764,855.00",27.79,United States,New York Stock Exchange Inc.,USD,1.00,--
EDPR,EDP RENOVAVEIS SA,EQUITY,Utilities,Equity,"21,096,448.79",1.18,"21,096,448.79","1,812,228.00",11.64,Portugal,Nyse Euronext - Euronext Lisbon,USD,0.93,--
VER,VERBUND AG,EQUITY,Utilities,Equity,"20,198,438.81",1.13,"20,198,438.81","261,713.00",77.18,Austria,Wiener Boerse Ag,USD,0.93,--
ENGI11,ENERGISA UNITS SA,EQUITY,Utilities,Equity,"19,297,987.95",1.08,"19,297,987.95","2,705,882.00",7.13,Brazil,XBSP,USD,5.78,--
300274,SUNGROW POWER SUPPLY LTD A,EQUITY,Industrials,Equity,"18,628,062.34",1.04,"18,628,062.34","1,534,400.00",12.14,China,Shenzhen Stock Exchange,USD,7.17,--
AGR,AVANGRID INC,EQUITY,Utilities,Equity,"17,297,194.40",0.97,"17,297,194.40","481,816.00",35.90,United States,New York Stock Exchange Inc.,USD,1.00,--
BKW,BKW N AG,EQUITY,Utilities,Equity,"16,706,656.75",0.93,"16,706,656.75","97,294.00",171.71,Switzerland,SIX Swiss Exchange,USD,0.87,--
EGIE3,ENGIE BRASIL ENERGIA SA,EQUITY,Utilities,Equity,"16,244,052.85",0.91,"16,244,052.85","2,333,101.00",6.96,Brazil,XBSP,USD,5.78,--
RUN,SUNRUN INC,EQUITY,Industrials,Equity,"15,842,433.75",0.89,"15,842,433.75","1,548,625.00",10.23,United States,NASDAQ,USD,1.00,--
PLUG,PLUG POWER INC,EQUITY,Industrials,Equity,"15,632,312.06",0.87,"15,632,312.06","7,588,501.00",2.06,United States,NASDAQ,USD,1.00,--
601012,LONGI GREEN ENERGY TECHNOLOGY LTD,EQUITY,Information Technology,Equity,"15,283,400.66",0.86,"15,283,400.66","5,718,400.00",2.67,China,Shanghai Stock Exchange,USD,7.17,--
NDX1,NORDEX,EQUITY,Industrials,Equity,"15,280,971.99",0.86,"15,280,971.99","1,155,787.00",13.22,Germany,Xetra,USD,0.93,--
600905,CHINA THREE GORGES RENEWABLES(GROU,EQUITY,Utilities,Equity,"14,287,685.64",0.80,"14,287,685.64","21,239,796.00",0.67,China,Shanghai Stock Exchange,USD,7.17,--
BLX,BORALEX INC CLASS A,EQUITY,Utilities,Equity,"13,664,409.67",0.76,"13,664,409.67","571,647.00",23.90,Canada,Toronto Stock Exchange,USD,1.39,--
586,CHINA CONCH VENTURE HOLDINGS LTD,EQUITY,Industrials,Equity,"12,277,367.26",0.69,"12,277,367.26","13,202,500.00",0.93,China,Hong Kong Exchanges And Clearing Ltd,USD,7.77,--
INOXWIND,INOX WIND LTD,EQUITY,Industrials,Equity,"11,898,007.98",0.67,"11,898,007.98","4,796,738.00",2.48,India,National Stock Exchange Of India,USD,84.38,--
CPLE6,CIA PARANAENSE DE ENERGIA COPEL PR,EQUITY,Utilities,Equity,"11,658,467.99",0.65,"11,658,467.99","7,188,850.00",1.62,Brazil,XBSP,USD,5.78,--
BRL,BRL CASH,CASH,Cash and/or Derivatives,Cash,"11,563,467.74",0.65,"11,563,467.74","66,881,941.00",17.29,Brazil,--,USD,5.78,--
ERG,ERG,EQUITY,Utilities,Equity,"10,512,230.70",0.59,"10,512,230.70","484,145.00",21.71,Italy,Borsa Italiana,USD,0.93,--
9958,CENTURY IRON AND STEEL INDUSTRIAL,EQUITY,Materials,Equity,"10,299,567.15",0.58,"10,299,567.15","1,764,000.00",5.84,Taiwan,Taiwan Stock Exchange,USD,32.11,--
009830,HANWHA SOLUTIONS CORP,EQUITY,Materials,Equity,"10,186,950.47",0.57,"10,186,950.47","739,928.00",13.77,Korea (South),Korea Exchange (Stock Market),USD,"1,386.60",--
1735,CENTRAL NEW ENERGY HOLDING GROUP L,EQUITY,Industrials,Equity,"9,818,176.67",0.55,"9,818,176.67","9,518,000.00",1.03,Hong Kong,Hong Kong Exchanges And Clearing Ltd,USD,7.77,--
